timestamp,hand_detected,gesture_detected,gesture_real,paused,game_over
1764273879.6111543,1,RIGHT,RIGHT,0,0
1764273879.6451244,1,RIGHT,RIGHT,0,0
1764273879.679601,1,RIGHT,RIGHT,0,0
1764273879.7115178,1,RIGHT,RIGHT,0,0
1764273879.7450051,1,RIGHT,RIGHT,0,0
1764273879.7782085,1,RIGHT,RIGHT,0,0
1764273879.8112564,1,RIGHT,RIGHT,0,0
1764273879.8436825,1,RIGHT,RIGHT,0,0
1764273879.8764226,1,RIGHT,RIGHT,0,0
1764273879.909389,1,RIGHT,RIGHT,0,0
1764273879.9418964,1,RIGHT,RIGHT,0,0
1764273879.9761426,1,RIGHT,RIGHT,0,0
1764273880.0087497,1,RIGHT,RIGHT,0,0
1764273880.041027,1,RIGHT,RIGHT,0,0
1764273880.075467,1,RIGHT,RIGHT,0,0
1764273880.1075773,1,RIGHT,RIGHT,0,0
1764273880.1400573,1,RIGHT,RIGHT,0,0
1764273880.1756005,1,RIGHT,RIGHT,0,0
1764273880.2063777,1,RIGHT,RIGHT,0,0
1764273880.2399242,1,RIGHT,RIGHT,0,0
1764273880.2729554,1,RIGHT,RIGHT,0,0
1764273880.3053775,1,RIGHT,RIGHT,0,0
1764273880.337618,1,RIGHT,RIGHT,0,0
1764273880.3722763,1,RIGHT,RIGHT,0,0
1764273880.4051783,1,RIGHT,RIGHT,0,0
1764273880.4385483,1,RIGHT,RIGHT,0,0
1764273880.4723454,1,RIGHT,RIGHT,0,0
1764273880.505279,1,RIGHT,RIGHT,0,0
1764273880.5378168,1,RIGHT,RIGHT,0,0
1764273880.5720537,1,RIGHT,RIGHT,0,0
1764273880.6032736,1,RIGHT,RIGHT,0,0
1764273880.6365094,1,RIGHT,RIGHT,0,0
1764273880.6701322,1,RIGHT,RIGHT,0,0
1764273880.7031717,1,RIGHT,RIGHT,0,0
1764273880.7398129,1,RIGHT,RIGHT,0,0
1764273880.7735884,1,RIGHT,RIGHT,0,0
1764273880.8053877,1,RIGHT,RIGHT,0,0
1764273880.8433166,1,RIGHT,RIGHT,0,0
1764273880.8716152,1,RIGHT,RIGHT,0,0
1764273880.9066353,1,RIGHT,RIGHT,0,0
1764273880.9397616,1,RIGHT,RIGHT,0,0
1764273880.9684653,1,RIGHT,RIGHT,0,0
1764273881.0031168,1,RIGHT,RIGHT,0,0
1764273881.0350118,1,RIGHT,RIGHT,0,0
1764273881.0688052,1,RIGHT,RIGHT,0,0
1764273881.1024787,1,RIGHT,RIGHT,0,0
1764273881.134146,1,RIGHT,RIGHT,0,0
1764273881.1683016,1,RIGHT,RIGHT,0,0
1764273881.2017503,1,RIGHT,RIGHT,0,0
1764273881.2343001,1,RIGHT,RIGHT,0,0
1764273881.2676036,1,RIGHT,RIGHT,0,0
1764273881.3012986,1,RIGHT,RIGHT,0,0
1764273881.333948,1,RIGHT,RIGHT,0,0
1764273881.3667703,1,RIGHT,RIGHT,0,0
1764273881.399734,1,RIGHT,RIGHT,0,0
1764273881.433525,1,RIGHT,RIGHT,0,0
1764273881.467392,1,RIGHT,RIGHT,0,0
1764273881.5003672,1,RIGHT,RIGHT,0,0
1764273881.5327141,1,RIGHT,RIGHT,0,0
1764273881.5641506,1,RIGHT,RIGHT,0,0
1764273881.5999908,1,RIGHT,RIGHT,0,0
1764273881.6318192,1,RIGHT,RIGHT,0,0
1764273881.6646192,1,RIGHT,RIGHT,0,0
1764273881.701791,1,RIGHT,RIGHT,0,0
1764273881.7319283,1,RIGHT,RIGHT,0,0
1764273881.7638474,1,RIGHT,RIGHT,0,0
1764273881.800497,1,RIGHT,RIGHT,0,0
1764273881.8323286,1,RIGHT,RIGHT,0,0
1764273881.8635666,1,RIGHT,RIGHT,0,0
1764273881.9008257,1,RIGHT,RIGHT,0,0
1764273881.931378,1,RIGHT,RIGHT,0,0
1764273881.9634905,1,RIGHT,RIGHT,0,0
1764273882.0001311,1,RIGHT,RIGHT,0,0
1764273882.0327852,1,RIGHT,RIGHT,0,0
1764273882.064519,1,RIGHT,RIGHT,0,0
1764273882.097337,1,RIGHT,RIGHT,0,0
1764273882.132524,1,RIGHT,RIGHT,0,0
1764273882.164193,1,RIGHT,RIGHT,0,0
1764273882.1952658,1,RIGHT,RIGHT,0,0
1764273882.2313418,1,RIGHT,RIGHT,0,0
1764273882.2648675,1,RIGHT,RIGHT,0,0
1764273882.2954364,1,RIGHT,RIGHT,0,0
1764273882.3340597,1,RIGHT,RIGHT,0,0
1764273882.3646362,1,RIGHT,RIGHT,0,0
1764273882.3962061,1,RIGHT,RIGHT,0,0
1764273882.4310548,1,RIGHT,RIGHT,0,0
1764273882.4634652,1,RIGHT,RIGHT,0,0
1764273882.4955394,1,RIGHT,RIGHT,0,0
1764273882.533258,1,RIGHT,RIGHT,0,0
1764273882.5642426,1,RIGHT,RIGHT,0,0
1764273882.5960894,1,RIGHT,RIGHT,0,0
1764273882.6318042,1,RIGHT,RIGHT,0,0
1764273882.6644058,1,RIGHT,RIGHT,0,0
1764273882.697452,1,RIGHT,RIGHT,0,0
1764273882.7281702,1,RIGHT,RIGHT,0,0
1764273882.76493,1,RIGHT,DOWN,0,0
1764273882.7951648,1,RIGHT,DOWN,0,0
1764273882.8273633,1,DOWN,DOWN,0,0
1764273882.8645892,1,DOWN,DOWN,0,0
1764273882.8947585,1,DOWN,DOWN,0,0
1764273882.92784,1,DOWN,DOWN,0,0
1764273882.96343,1,DOWN,DOWN,0,0
1764273882.9955559,1,DOWN,DOWN,0,0
1764273883.027303,1,DOWN,DOWN,0,0
1764273883.064754,1,DOWN,DOWN,0,0
1764273883.0949032,1,DOWN,DOWN,0,0
1764273883.1274233,1,DOWN,DOWN,0,0
1764273883.164225,1,DOWN,DOWN,0,0
1764273883.1957927,1,DOWN,DOWN,0,0
1764273883.2275844,1,DOWN,DOWN,0,0
1764273883.2604187,1,DOWN,DOWN,0,0
1764273883.2963324,1,DOWN,DOWN,0,0
1764273883.3277001,1,DOWN,DOWN,0,0
1764273883.3601289,1,DOWN,DOWN,0,0
1764273883.395844,1,DOWN,DOWN,0,0
1764273883.427921,1,DOWN,DOWN,0,0
1764273883.4607577,1,DOWN,DOWN,0,0
1764273883.4990876,1,DOWN,DOWN,0,0
1764273883.5276237,1,DOWN,DOWN,0,0
1764273883.5594487,1,DOWN,DOWN,0,0
1764273883.59471,1,DOWN,DOWN,0,0
1764273883.6272433,1,DOWN,DOWN,0,0
1764273883.66,1,DOWN,DOWN,0,0
1764273883.696198,1,DOWN,DOWN,0,0
1764273883.728132,1,DOWN,DOWN,0,0
1764273883.7594721,1,DOWN,DOWN,0,0
1764273883.7922635,1,DOWN,DOWN,0,0
1764273883.8278782,1,DOWN,DOWN,0,0
1764273883.8600078,1,DOWN,DOWN,0,0
1764273883.8922126,1,DOWN,DOWN,0,0
1764273883.927256,1,DOWN,DOWN,0,0
1764273883.9590044,1,DOWN,DOWN,0,0
1764273883.9923408,1,DOWN,DOWN,0,0
1764273884.0285685,1,DOWN,DOWN,0,0
