timestamp,hand_detected,gesture_detected,gesture_real,paused,game_over
1763581862.4528139,1,DOWN,DOWN,0,0
1763581862.485799,1,DOWN,DOWN,0,0
1763581862.519018,1,DOWN,DOWN,0,0
1763581862.552254,1,DOWN,DOWN,0,0
1763581862.5851564,1,DOWN,DOWN,0,0
1763581862.6178055,1,DOWN,RIGHT,0,0
1763581862.650221,1,DOWN,RIGHT,0,0
1763581862.6833131,1,DOWN,RIGHT,0,0
1763581862.7174006,1,DOWN,RIGHT,0,0
1763581862.7500367,1,DOWN,RIGHT,0,0
1763581862.7826238,1,RIGHT,RIGHT,0,0
1763581862.8164237,1,RIGHT,RIGHT,0,0
1763581862.84905,1,RIGHT,RIGHT,0,0
1763581862.8820891,1,RIGHT,RIGHT,0,0
1763581862.9148288,1,RIGHT,RIGHT,0,0
1763581862.9473863,1,RIGHT,RIGHT,0,0
1763581862.9813974,1,RIGHT,RIGHT,0,0
1763581863.01558,1,RIGHT,RIGHT,0,0
1763581863.0472932,1,RIGHT,RIGHT,0,0
1763581863.0826054,1,RIGHT,RIGHT,0,0
1763581863.1143396,1,RIGHT,RIGHT,0,0
1763581863.146529,1,RIGHT,RIGHT,0,0
1763581863.1823208,1,RIGHT,RIGHT,0,0
1763581863.2145195,1,RIGHT,RIGHT,0,0
1763581863.2464776,1,RIGHT,RIGHT,0,0
1763581863.2832108,1,RIGHT,RIGHT,0,0
1763581863.3151176,1,RIGHT,RIGHT,0,0
1763581863.351252,1,RIGHT,RIGHT,0,0
1763581863.3831513,1,RIGHT,RIGHT,0,0
1763581863.4156647,1,RIGHT,RIGHT,0,0
1763581863.4509978,1,RIGHT,RIGHT,0,0
1763581863.4829218,1,RIGHT,RIGHT,0,0
1763581863.5146272,1,RIGHT,RIGHT,0,0
1763581863.5509849,1,RIGHT,RIGHT,0,0
1763581863.5823832,1,RIGHT,RIGHT,0,0
1763581863.619425,1,RIGHT,RIGHT,0,0
1763581863.6506028,1,RIGHT,RIGHT,0,0
1763581863.6822376,1,RIGHT,RIGHT,0,0
1763581863.7185478,1,RIGHT,RIGHT,0,0
1763581863.7517374,1,RIGHT,RIGHT,0,0
1763581863.782794,1,RIGHT,RIGHT,0,0
1763581863.8189719,1,RIGHT,RIGHT,0,0
1763581863.8499742,1,RIGHT,RIGHT,0,0
1763581863.8871582,1,RIGHT,RIGHT,0,0
1763581863.9181962,1,RIGHT,RIGHT,0,0
1763581863.9504857,1,RIGHT,RIGHT,0,0
1763581863.9864752,1,RIGHT,RIGHT,0,0
1763581864.0186112,1,RIGHT,RIGHT,0,0
1763581864.050189,1,RIGHT,RIGHT,0,0
1763581864.0873618,1,RIGHT,RIGHT,0,0
1763581864.1187139,1,RIGHT,RIGHT,0,0
1763581864.1567137,1,RIGHT,UP,0,0
1763581864.1873627,1,RIGHT,UP,0,0
1763581864.219441,1,RIGHT,UP,0,0
1763581864.2565536,1,RIGHT,UP,0,0
1763581864.2867947,1,UP,UP,0,0
1763581864.318796,1,UP,UP,0,0
1763581864.3547492,1,UP,UP,0,0
1763581864.3869967,1,UP,UP,0,0
1763581864.423646,1,UP,UP,0,0
1763581864.4556158,1,UP,UP,0,0
1763581864.4867828,1,UP,UP,0,0
1763581864.5235882,1,UP,UP,0,0
1763581864.5544844,1,UP,UP,0,0
1763581864.5876307,1,UP,UP,0,0
1763581864.622898,1,UP,UP,0,0
1763581864.6555529,1,UP,UP,0,0
1763581864.691721,1,UP,UP,0,0
1763581864.72335,1,UP,UP,0,0
1763581864.7556143,1,UP,UP,0,0
1763581864.790797,1,UP,UP,0,0
1763581864.8229787,1,UP,UP,0,0
1763581864.8549612,1,UP,UP,0,0
