timestamp,hand_detected,gesture_detected,gesture_real,paused,game_over
1763667791.0646634,1,RIGHT,RIGHT,0,0
1763667791.0805888,1,RIGHT,RIGHT,0,0
1763667791.113455,1,RIGHT,RIGHT,0,0
1763667791.1476653,1,RIGHT,RIGHT,0,0
1763667791.179045,1,RIGHT,RIGHT,0,0
1763667791.2127423,1,RIGHT,RIGHT,0,0
1763667791.2458375,1,RIGHT,RIGHT,0,0
1763667791.2784884,1,RIGHT,RIGHT,0,0
1763667791.3122823,1,RIGHT,RIGHT,0,0
1763667791.345054,1,RIGHT,RIGHT,0,0
1763667791.378816,1,RIGHT,RIGHT,0,0
1763667791.4120264,1,RIGHT,RIGHT,0,0
1763667791.4439692,1,RIGHT,RIGHT,0,0
1763667791.478394,1,RIGHT,RIGHT,0,0
1763667791.5115764,1,RIGHT,RIGHT,0,0
1763667791.5444643,1,RIGHT,RIGHT,0,0
1763667791.5782883,1,RIGHT,RIGHT,0,0
1763667791.6108568,1,RIGHT,RIGHT,0,0
1763667791.6452668,1,RIGHT,RIGHT,0,0
1763667791.6785696,1,RIGHT,RIGHT,0,0
1763667791.711361,1,RIGHT,RIGHT,0,0
1763667791.7429109,1,RIGHT,RIGHT,0,0
1763667791.7770689,1,RIGHT,RIGHT,0,0
1763667791.8098044,1,RIGHT,RIGHT,0,0
1763667791.8422053,1,RIGHT,RIGHT,0,0
1763667791.8745434,1,RIGHT,RIGHT,0,0
1763667791.9070344,1,RIGHT,RIGHT,0,0
1763667791.942166,1,RIGHT,RIGHT,0,0
1763667791.9731414,1,RIGHT,RIGHT,0,0
1763667792.0072877,1,RIGHT,RIGHT,0,0
1763667792.0415723,1,RIGHT,RIGHT,0,0
1763667792.07305,1,RIGHT,RIGHT,0,0
1763667792.1066628,1,RIGHT,RIGHT,0,0
1763667792.1397297,1,RIGHT,RIGHT,0,0
1763667792.172735,1,RIGHT,RIGHT,0,0
1763667792.206107,1,RIGHT,RIGHT,0,0
1763667792.2390137,1,RIGHT,RIGHT,0,0
1763667792.2718022,1,RIGHT,RIGHT,0,0
1763667792.3059635,1,RIGHT,RIGHT,0,0
1763667792.3385592,1,RIGHT,RIGHT,0,0
1763667792.3711462,1,RIGHT,RIGHT,0,0
1763667792.4052668,1,RIGHT,RIGHT,0,0
1763667792.4397626,1,RIGHT,RIGHT,0,0
1763667792.4738617,1,RIGHT,RIGHT,0,0
1763667792.5056899,1,RIGHT,RIGHT,0,0
1763667792.5380485,1,RIGHT,RIGHT,0,0
1763667792.5736907,1,RIGHT,RIGHT,0,0
1763667792.6052341,1,RIGHT,RIGHT,0,0
1763667792.6384108,1,RIGHT,RIGHT,0,0
1763667792.671151,1,RIGHT,RIGHT,0,0
1763667792.7053828,1,RIGHT,RIGHT,0,0
1763667792.7376833,1,RIGHT,RIGHT,0,0
1763667792.7707756,1,RIGHT,RIGHT,0,0
1763667792.8047414,1,RIGHT,RIGHT,0,0
1763667792.8381622,1,RIGHT,RIGHT,0,0
1763667792.8707583,1,RIGHT,RIGHT,0,0
1763667792.9043062,1,RIGHT,RIGHT,0,0
1763667792.9374075,1,RIGHT,RIGHT,0,0
1763667792.969531,1,RIGHT,RIGHT,0,0
1763667793.0032945,1,RIGHT,RIGHT,0,0
1763667793.036499,1,RIGHT,RIGHT,0,0
1763667793.0705874,1,RIGHT,RIGHT,0,0
1763667793.103411,1,RIGHT,RIGHT,0,0
1763667793.1367154,1,RIGHT,RIGHT,0,0
1763667793.1704135,1,RIGHT,RIGHT,0,0
1763667793.2017336,1,RIGHT,RIGHT,0,0
1763667793.2348166,1,RIGHT,RIGHT,0,0
1763667793.2682166,1,RIGHT,RIGHT,0,0
1763667793.3006575,1,RIGHT,RIGHT,0,0
1763667793.33617,1,RIGHT,RIGHT,0,0
1763667793.3681443,1,RIGHT,RIGHT,0,0
1763667793.4010997,1,RIGHT,RIGHT,0,0
1763667793.434267,1,RIGHT,RIGHT,0,0
1763667793.4684248,1,RIGHT,RIGHT,0,0
